,TimeStamp,Record,BattV_Avg,PTemp_C_Avg,WS_mph_Avg,WindDir,SlrkW_Avg,SlrMJ_Tot,Rain_in_Tot,ETrs,Rso,AirTF_Avg,RH,AirTF,AirTF_Max,AirTF_TMx,AirTF_Min,AirTF_TMn,WS_mph_Max,WS_mph_TMx
0,2020-04-08 19:00:00.0,24005,13.53,9.68,16.12,300.1,0.04,0.1421051,0,0.06,0,44.75,49.47,41.24,46.74,"""2020-04-08 18:08:50""",40.93,"""2020-04-08 18:59:10""",30.92,"""2020-04-08 18:50:45"""
1,2020-04-08 20:00:00.0,24006,13.59,7.325,14.84,295.7,0,0.0006651376,0,0.04,0,41.54,44.19,40.58,42.28,"""2020-04-08 19:12:50""",40.45,"""2020-04-08 19:56:30""",30.25,"""2020-04-08 19:58:35"""
2,2020-04-08 21:00:00.0,24007,13.63,5.834,16.25,278.3,0,0,0,0.04,0,39.47,48.5,38.34,40.88,"""2020-04-08 20:03:15""",38.22,"""2020-04-08 20:58:45""",27.9,"""2020-04-08 20:28:45"""
3,2020-04-08 22:00:00.0,24008,13.67,4.517,13.27,321.2,0,0,0,0.03,0,37.57,49.93,37.18,38.58,"""2020-04-08 21:00:45""",36.82,"""2020-04-08 21:59:05""",27.23,"""2020-04-08 21:39:15"""
4,2020-04-08 23:00:00.0,24009,13.7,3.535,10.52,294.5,0,0,0,0.03,0,36.35,54.51,35.73,37.25,"""2020-04-08 22:01:55""",35.37,"""2020-04-08 22:59:45""",20.86,"""2020-04-08 22:14:15"""
5,2020-04-09 00:00:00.0,24010,13.73,2.579,8.94,281,0,0,0,0.02,0,35.21,57.16,34.83,35.85,"""2020-04-08 23:06:40""",34.58,"""2020-04-08 23:59:45""",18.18,"""2020-04-08 23:54:00"""
6,2020-04-09 01:00:00.0,24011,13.75,2.029,10.84,281.7,0,0,0,0.02,0,34.44,55.29,33.98,34.95,"""2020-04-09 00:11:00""",33.73,"""2020-04-09 00:59:25""",19.85,"""2020-04-09 00:19:30"""
7,2020-04-09 02:00:00.0,24012,13.77,1.527,9.75,277.3,0,0,0,0.02,0,33.5,61.02,32.94,34.22,"""2020-04-09 01:01:40""",32.76,"""2020-04-09 01:53:50""",17.51,"""2020-04-09 01:19:10"""
8,2020-04-09 03:00:00.0,24013,13.79,1.037,11.02,274.8,0,0,0,0.02,0,32.68,61.73,32.27,33.12,"""2020-04-09 02:00:10""",32.27,"""2020-04-09 02:59:40""",18.18,"""2020-04-09 02:37:55"""
9,2020-04-09 04:00:00.0,24014,13.8,0.67,10.7,311.2,0,0,0,0.02,0,32.15,59.87,31.78,32.7,"""2020-04-09 03:02:20""",31.6,"""2020-04-09 03:59:15""",17.17,"""2020-04-09 03:00:40"""
10,2020-04-09 05:00:00.0,24015,13.81,0.22,9.13,280,0,0,0,0.02,0,31.3,61.8,30.81,32.09,"""2020-04-09 04:02:45""",30.63,"""2020-04-09 04:53:05""",16.5,"""2020-04-09 04:10:00"""
11,2020-04-09 06:00:00.0,24016,13.83,-0.33,7.846,287,0.01,0.03143878,0,0.04,0.08,30.63,61.57,31.06,31.31,"""2020-04-09 05:58:45""",30.15,"""2020-04-09 05:39:00""",14.49,"""2020-04-09 05:04:05"""
12,2020-04-09 07:00:00.0,24017,13.82,-0.08,8.12,295.5,0.05,0.1755981,0,0.05,0.63,31.1,64.44,31.91,32.15,"""2020-04-09 06:55:45""",30.39,"""2020-04-09 06:18:50""",15.83,"""2020-04-09 06:56:20"""
13,2020-04-09 08:00:00.0,24018,13.79,1.171,10.52,316.5,0.22,0.7756939,0,0.1,1.331,33.14,52.72,33.85,34.71,"""2020-04-09 07:52:50""",31.66,"""2020-04-09 07:04:25""",18.85,"""2020-04-09 07:58:05"""
14,2020-04-09 09:00:00.0,24019,13.74,2.975,12.48,279.9,0.29,1.058112,0,0.13,1.981,33.85,62.6,33.6,35.73,"""2020-04-09 08:34:55""",31.4,"""2020-04-09 08:48:50""",20.86,"""2020-04-09 08:19:35"""
15,2020-04-09 10:00:00.0,24020,13.71,3.833,12.17,320.2,0.49,1.755,0,0.19,2.512,35.17,47.32,35.05,37.31,"""2020-04-09 09:38:05""",33.41,"""2020-04-09 09:00:05""",22.54,"""2020-04-09 09:46:00"""
16,2020-04-09 11:00:00.0,24021,13.72,3.796,11.96,340.3,0.28,0.9966432,0,0.13,2.877,32.79,68.09,31.34,35.66,"""2020-04-09 10:01:45""",30.61,"""2020-04-09 10:47:00""",23.21,"""2020-04-09 10:18:25"""
17,2020-04-09 12:00:00.0,24022,13.73,2.624,12.74,300.2,0.48,1.709544,0,0.16,3.04,32.56,46.95,36.59,36.71,"""2020-04-09 11:59:50""",28.96,"""2020-04-09 11:05:00""",25.56,"""2020-04-09 11:29:55"""
18,2020-04-09 13:00:00.0,24023,13.72,3.294,13.9,311.3,0.52,1.862337,0,0.19,3.011,33.83,43.19,36.22,37.14,"""2020-04-09 12:01:25""",30.55,"""2020-04-09 12:19:05""",28.24,"""2020-04-09 12:06:40"""
19,2020-04-09 14:00:00.0,24024,13.7,4.034,13.97,316.5,0.54,1.953766,0,0.21,2.768,35.69,44.47,36.02,37.98,"""2020-04-09 13:41:50""",32.43,"""2020-04-09 13:22:05""",26.56,"""2020-04-09 13:01:45"""
20,2020-04-09 15:00:00.0,24025,13.69,4.67,13.01,342.9,0.41,1.492114,0,0.20,2.346,36.51,38.54,35.96,39.13,"""2020-04-09 14:15:30""",33.95,"""2020-04-09 14:24:00""",25.22,"""2020-04-09 14:17:05"""
21,2020-04-09 16:00:00.0,24026,13.69,4.641,13.53,305.4,0.28,1.011472,0,0.17,1.764,36.43,43.12,35.6,38.52,"""2020-04-09 15:47:45""",35.05,"""2020-04-09 15:24:05""",25.56,"""2020-04-09 15:29:00"""
22,2020-04-09 17:00:00.0,24027,13.68,4.815,13.26,311.6,0.33,1.191408,0,0.17,1.083,37.13,34.61,37.91,38.58,"""2020-04-09 16:41:55""",35.29,"""2020-04-09 16:01:30""",22.87,"""2020-04-09 16:04:20"""
23,2020-04-09 18:00:00.0,24028,13.67,5.386,11.95,327.3,0.19,0.6954542,0,0.13,0.39,37.48,38.34,36.94,38.83,"""2020-04-09 17:11:10""",36.51,"""2020-04-09 17:54:15""",21.53,"""2020-04-09 17:45:30"""
24,2020-04-09 19:00:00.0,24029,13.69,4.434,9.4,315.6,0.04,0.1264169,0,0.04,0,36.36,40.04,35.79,37.3,"""2020-04-09 18:06:00""",35.42,"""2020-04-09 18:57:15""",17.51,"""2020-04-09 18:14:45"""
